time,solar radiation
2022-01-01 06:00:00,0.0
2022-01-01 07:00:00,
2022-01-01 08:00:00,374614.12
2022-01-01 09:00:00,834108.25
2022-01-01 10:00:00,1202242.5
2022-01-01 11:00:00,1403760.4
2022-01-01 12:00:00,1410047.8
2022-01-01 13:00:00,1218217.6
2022-01-01 14:00:00,860733.5
2022-01-01 15:00:00,410029.0
2022-01-01 16:00:00,59409.625
2022-01-01 17:00:00,0.0
2022-03-28 06:00:00,146663.5
2022-03-28 07:00:00,704061.5
2022-03-28 08:00:00,1392404.5
2022-03-28 09:00:00,2028010.2
2022-03-28 10:00:00,2507008.2
2022-03-28 11:00:00,2785001.5
2022-03-28 12:00:00,2823688.2
2022-03-28 13:00:00,2612226.0
2022-03-28 14:00:00,2176277.5
2022-03-28 16:00:00,852328.9
2022-03-28 17:00:00,230067.88
2022-03-28 18:00:00,1475.75
2022-03-28 19:00:00,0.0
2022-03-28 20:00:00,0.0
2022-03-28 21:00:00,
2022-04-01 06:00:00,805814.9
2022-04-01 07:00:00,1539709.5
2022-04-01 08:00:00,2205533.2
2022-04-01 09:00:00,2717444.0
2022-04-01 11:00:00,
2022-04-01 12:00:00,2791738.0
2022-04-01 13:00:00,2337889.8
2022-04-01 14:00:00,1697857.1
2022-04-01 15:00:00,961011.25
2022-04-01 16:00:00,
2022-04-01 17:00:00,4491.0
2022-04-01 18:00:00,0.0
2022-04-01 19:00:00,0.0
2022-04-01 20:00:00,0.0
2022-04-16 06:00:00,398224.0
2022-04-16 08:00:00,1888917.4
2022-04-16 09:00:00,2542872.0
2022-04-16 10:00:00,3013978.5
2022-04-16 11:00:00,3263678.5
2022-04-16 12:00:00,
2022-04-16 13:00:00,3019945.2
2022-04-16 14:00:00,2546336.5
2022-04-16 15:00:00,1894178.2
2022-04-16 16:00:00,1134877.4
2022-04-16 17:00:00,405024.62
2022-04-16 18:00:00,21492.75
2022-04-16 19:00:00,
2022-04-16 20:00:00,0.0
2022-04-16 21:00:00,
2022-09-07 08:00:00,873821.6
2022-09-07 09:00:00,1573392.0
2022-09-07 10:00:00,2188403.2
2022-09-07 11:00:00,2631922.2
2022-09-07 12:00:00,2854483.8
2022-09-07 13:00:00,2830296.5
2022-09-07 14:00:00,2576169.8
2022-09-07 15:00:00,2113981.0
2022-09-07 16:00:00,1483892.8
2022-09-07 17:00:00,783616.5
2022-09-07 18:00:00,202287.88
2022-09-07 19:00:00,1090.75
2022-09-07 20:00:00,0.0
2022-09-07 21:00:00,0.0
2022-09-07 22:00:00,0.0
2022-03-11 05:00:00,39713.375
2022-03-11 06:00:00,460199.88
2022-03-11 07:00:00,1136866.2
2022-03-11 08:00:00,1778374.5
2022-03-11 09:00:00,2262825.8
2022-03-11 10:00:00,
2022-03-11 11:00:00,2562375.8
2022-03-11 12:00:00,2360152.2
2022-03-11 13:00:00,1942873.6
2022-03-11 14:00:00,1350766.5
2022-03-11 15:00:00,655494.5
2022-03-11 16:00:00,
2022-03-11 17:00:00,0.0
2022-03-11 18:00:00,0.0
2022-03-11 19:00:00,0.0
2022-03-11 20:00:00,0.0
2022-07-23 07:00:00,581521.25
2022-07-23 09:00:00,1991055.6
